Entry,OR_num,Labcode,Labcode_cmt,Site name,Site name_cmt,Probable correct site name,Site name in English,Corrected_name,location accuracy score (1=best),location_cmt,Lat,Long,location_recorder,per,Abb_Name,Prov,City,Sample name,Context,Context2,Context_cmt,Material,Materail_cmt,13C(0/00),13C(0/00)_range,uncal_bp,uncal_range,collected_season,SUBPHASE,SUBPHASE_cmt,seed_association,seed_cmt,Reference,Remark,dist_to_coast
230,OR216,SNU06-173,,호평동 지사을,,남양주 사능-호평 유적?,Jisaeul-Hopyeongdong,,1,,37.662236,127.249502,HK,,,경기,남양주,,house,1호 주거지 - 1 (2지점),,charcoal,,-24.75,,3930,60,Jul 2020 (Kim),LC,,,,기전문화재연구원2007. 남양주 호평동 지새울 유적.,,50679.7834547
231,OR217,SNU06-176,,호평동 지사을,,남양주 사능-호평 유적?,Jisaeul-Hopyeongdong,,1,,37.662236,127.249502,HK,,,경기,남양주,,house,2호 주거지 - 3 (2지점),,charcoal,,-26.53,,3860,50,Jul 2020 (Kim),LC,,,,기전문화재연구원2007. 남양주 호평동 지새울 유적.,,50679.7834547
232,OR218,SNU06-177,,호평동 지사을,,남양주 사능-호평 유적?,Jisaeul-Hopyeongdong,,1,,37.662236,127.249502,HK,,,경기,남양주,,house,3호 주거지 내 2호노지,,charcoal,,-29.9,,4040,60,Jul 2020 (Kim),LC,,,,기전문화재연구원2007. 남양주 호평동 지새울 유적.,,50679.7834547
233,OR219,SNU06-178,,호평동 지사을,,남양주 사능-호평 유적?,Jisaeul-Hopyeongdong,,1,,37.662236,127.249502,HK,,,경기,남양주,,house,3호 주거지 내 3호 노지,,charcoal,,-27.08,,4050,60,Jul 2020 (Kim),LC,,,,기전문화재연구원2007. 남양주 호평동 지새울 유적.,,50679.7834547
234,OR220,SNU06-179,,호평동 지사을,,남양주 사능-호평 유적?,Jisaeul-Hopyeongdong,,1,,37.662236,127.249502,HK,,,경기,남양주,,house,3호 주거지 내 4호 노지,,charcoal,,-27.77,,3990,60,Jul 2020 (Kim),LC,,,,기전문화재연구원2007. 남양주 호평동 지새울 유적.,,50679.7834547
235,OR221,SNU06-180,,호평동 지사을,,남양주 사능-호평 유적?,Jisaeul-Hopyeongdong,,1,,37.662236,127.249502,HK,,,경기,남양주,,house,4호 주거지 - 1,,charcoal,,-31.06,,4020,60,Jul 2020 (Kim),LC,,,,기전문화재연구원2007. 남양주 호평동 지새울 유적.,,50679.7834547
236,OR222,SNU06-181,,호평동 지사을,,남양주 사능-호평 유적?,Jisaeul-Hopyeongdong,,1,,37.662236,127.249502,HK,,,경기,남양주,,house,4호 주거지 - 2,,charcoal,,,,2890,50,Jul 2020 (Kim),LC,,,,기전문화재연구원2007. 남양주 호평동 지새울 유적.,,50679.7834547
237,OR223,SNU06-182,,호평동 지사을,,남양주 사능-호평 유적?,Jisaeul-Hopyeongdong,,1,,37.662236,127.249502,HK,,,경기,남양주,,house,4호 주거지 - 3,,charcoal,,-34.17,,2850,60,Jul 2020 (Kim),LC,,,,기전문화재연구원2007. 남양주 호평동 지새울 유적.,,50679.7834547
238,OR224,SNU06-183,,호평동 지사을,,남양주 사능-호평 유적?,Jisaeul-Hopyeongdong,,1,,37.662236,127.249502,HK,,,경기,남양주,,outdoor hearth,1호 야외노지 -1,,charcoal,,-28.83,,2880,60,Jul 2020 (Kim),LC,,,,기전문화재연구원2007. 남양주 호평동 지새울 유적.,,50679.7834547
239,OR225,SNU06-184,,호평동 지사을,,남양주 사능-호평 유적?,Jisaeul-Hopyeongdong,,1,,37.662236,127.249502,HK,,,경기,남양주,,outdoor hearth,1호 야외노지-2,,charcoal,,-34.67,,3820,60,Jul 2020 (Kim),LC,,,,기전문화재연구원2007. 남양주 호평동 지새울 유적.,,50679.7834547
240,OR226,SNU06-185,,호평동 지사을,,남양주 사능-호평 유적?,Jisaeul-Hopyeongdong,,1,,37.662236,127.249502,HK,,,경기,남양주,,outdoor hearth,1호 야외노지-3,,charcoal,,-23.98,,3700,60,Jul 2020 (Kim),LC,,,,기전문화재연구원2007. 남양주 호평동 지새울 유적.,,50679.7834547
241,OR227,SNU06-186,,호평동 지사을,,남양주 사능-호평 유적?,Jisaeul-Hopyeongdong,,1,,37.662236,127.249502,HK,,,경기,남양주,,outdoor hearth,2호 야외노지-1,,charcoal,,-31.93,,3930,60,Jul 2020 (Kim),LC,,,,기전문화재연구원2007. 남양주 호평동 지새울 유적.,,50679.7834547
242,OR228,SNU06-187,,호평동 지사을,,남양주 사능-호평 유적?,Jisaeul-Hopyeongdong,,1,,37.662236,127.249502,HK,,,경기,남양주,,outdoor hearth,2호 야외노지-2,,charcoal,,-39.93,,3560,120,Jul 2020 (Kim),LC,,,,기전문화재연구원2007. 남양주 호평동 지새울 유적.,,50679.7834547
243,OR229,SNU06-188,,호평동 지사을,,남양주 사능-호평 유적?,Jisaeul-Hopyeongdong,,1,,37.662236,127.249502,HK,,,경기,남양주,,outdoor hearth,2호 야외노지-3,,charcoal,,-31.41,,4220,120,Jul 2020 (Kim),LC,,,,기전문화재연구원2007. 남양주 호평동 지새울 유적.,,50679.7834547
244,OR230,SNU06-189,,호평동 지사을,,남양주 사능-호평 유적?,Jisaeul-Hopyeongdong,,1,,37.662236,127.249502,HK,,,경기,남양주,,outdoor hearth,3호 야외노지-1,,charcoal,,-24.13,,4090,50,Jul 2020 (Kim),LC,,,,기전문화재연구원2007. 남양주 호평동 지새울 유적.,,50679.7834547
245,OR231,SNU06-190,,호평동 지사을,,남양주 사능-호평 유적?,Jisaeul-Hopyeongdong,,1,,37.662236,127.249502,HK,,,경기,남양주,,outdoor hearth,3호 야외노지-2,,charcoal,,,,4100,50,Jul 2020 (Kim),LC,,,,기전문화재연구원2007. 남양주 호평동 지새울 유적.,,50679.7834547
246,OR232,SNU06-191,,호평동 지사을,,남양주 사능-호평 유적?,Jisaeul-Hopyeongdong,,1,,37.662236,127.249502,HK,,,경기,남양주,,outdoor hearth,3호 야외노지-3,,charcoal,,-30.45,,4130,50,Jul 2020 (Kim),LC,,,,기전문화재연구원2007. 남양주 호평동 지새울 유적.,,50679.7834547
247,OR233,SNU06-192,,호평동 지사을,,남양주 사능-호평 유적?,Jisaeul-Hopyeongdong,,1,,37.662236,127.249502,HK,,,경기,남양주,,outdoor hearth,4호 야외노지-1,,charcoal,,-24.14,,4080,50,Jul 2020 (Kim),LC,,,,기전문화재연구원2007. 남양주 호평동 지새울 유적.,,50679.7834547
248,OR234,SNU06-193,,호평동 지사을,,남양주 사능-호평 유적?,Jisaeul-Hopyeongdong,,1,,37.662236,127.249502,HK,,,경기,남양주,,outdoor hearth,4호 야외노지-2,,charcoal,,-27.41,,4220,50,Jul 2020 (Kim),LC,,,,기전문화재연구원2007. 남양주 호평동 지새울 유적.,,50679.7834547
249,OR235,SNU06-194,,호평동 지사을,,남양주 사능-호평 유적?,Jisaeul-Hopyeongdong,,1,,37.662236,127.249502,HK,,,경기,남양주,,outdoor hearth,4호 야외노지-3,,charcoal,,-24.29,,4080,60,Jul 2020 (Kim),LC,,,,기전문화재연구원2007. 남양주 호평동 지새울 유적.,,50679.7834547
250,OR236,SNU06-195,,호평동 지사을,,남양주 사능-호평 유적?,Jisaeul-Hopyeongdong,,1,,37.662236,127.249502,HK,,,경기,남양주,,pit,2호 수혈 - 1,,charcoal,,-23,,3980,60,Jul 2020 (Kim),LC,,,,기전문화재연구원2007. 남양주 호평동 지새울 유적.,,50679.7834547
251,OR237,SNU06-196,,호평동 지사을,,남양주 사능-호평 유적?,Jisaeul-Hopyeongdong,,1,,37.662236,127.249502,HK,,,경기,남양주,,pit,2호 수혈 - 2,,charcoal,,-22.51,,4170,60,Jul 2020 (Kim),LC,,,,기전문화재연구원2007. 남양주 호평동 지새울 유적.,,50679.7834547
252,OR238,SNU06-197,,호평동 지사을,,남양주 사능-호평 유적?,Jisaeul-Hopyeongdong,,1,,37.662236,127.249502,HK,,,경기,남양주,,pit,2호 수혈 - 3,,charcoal,,-22.89,,4070,50,Jul 2020 (Kim),LC,,,,기전문화재연구원2007. 남양주 호평동 지새울 유적.,,50679.7834547
253,OR239,SNU06-791,,동망골,,신갈동 만골 유적,Dongmanggol,,1,,37.28683,127.115182,HK,,,경기,신갈,,,YKM-NT-4,,,,,,4020,60,Bae_et_al_2013,,,,,,,22767.3511097
254,OR240,SNU06-792,,동망골,,신갈동 만골 유적,Dongmanggol,,1,,37.28683,127.115182,HK,,,경기,신갈,,,YKM-NT-2,,,,,,4160,80,Bae_et_al_2013,,,,,,,22767.3511097
255,OR241,SNU06-794,,동망골,,신갈동 만골 유적,Dongmanggol,,1,,37.28683,127.115182,HK,,,경기,신갈,,pit,YKM-NT-4 pit,,charcoal,,,,4200,60,Bae_et_al_2013,,,,,,,22767.3511097
256,OR242,61027,beta?,효천 유적,,,Hyocheon,,2,광주 효천2지구 임의좌표 사용,35.10135,126.888119,HK,,,전남,광주,,pit,1ho pit-1,,,,,,4130,50,Bae_et_al_2013,,,,,,,38622.2608829
257,OR243,61028,beta?,효천 유적,,,Hyocheon,,2,광주 효천2지구 임의좌표 사용,35.10135,126.888119,HK,,,전남,광주,,pit,1ho pit-2,,,,,,4140,50,Bae_et_al_2013,,,,,,,38622.2608829
258,OR244,SNU06-1138,,주천리 1619번지,,,Jucheon 1619,,1,"주천리 1691 유적 위치를 사용하였으나, 탄소연대 시료가 이곳에서 출토됬는지는 추후확인필요",37.264956,128.288304,HK,,,강원,영월,,outdoor hearth,1호야외뇌지,주천1,charcoal,,-35.88,,3860,60,Jul 2020 (Kim),,,,,강원문화재연구소 2009:157-159.,,78177.8460958999
259,OR245,SNU06-1139,,주천리 1619번지,,,Jucheon 1619,,1,"주천리 1691 유적 위치를 사용하였으나, 탄소연대 시료가 이곳에서 출토됬는지는 추후확인필요",37.26524,128.2886,HK,,,강원,영월,,outdoor hearth,3호야외노지,주천2,charcoal,,-30.96,,3920,70,Jul 2020 (Kim),,,,,강원문화재연구소 2009:157-159.,,78142.8246029
260,OR246,SNU06-1140,,주천리 1619번지,,,Jucheon 1619,,1,"주천리 1691 유적 위치를 사용하였으나, 탄소연대 시료가 이곳에서 출토됬는지는 추후확인필요",37.26524,128.2886,HK,,,강원,영월,,outdoor hearth,8호야외노지,주천3,charcoal,,-27.5,,4180,60,Jul 2020 (Kim),,,,,강원문화재연구소 2009:157-159.,,78142.8246029
261,OR247,SNU07-633,,안도 패총,,,Ando,,1,,34.4878,127.798902,HK,,,전남,여수,,pit,pit5 구지표 상면,,bone,,-20.82,,7410,60,Bae_et_al_2013,,,,,국립광주박물관 200:349-362,context updated using So's record,39.7126518442999
262,OR248,SNU07-634,,안도 패총,,,Ando,,1,,34.4878,127.798902,HK,,,전남,여수,,pit,pit5 구지표 상면,,bone,,-14.8,,7430,60,Bae_et_al_2013,,,,,국립광주박물관 200:349-362,context updated using So's record,39.7126518442999
263,OR249,SNU07-635,,안도 패총,,,Ando,,1,,34.4878,127.798902,HK,,,전남,여수,,pit,pit2 Ⅰ층,,bone,,-56.83,,6620,110,Bae_et_al_2013,,,,,국립광주박물관 200:349-362,context updated using So's record,39.7126518442999
264,OR250,SNU07-A024,,안도 패총,,,Ando,,1,,34.4878,127.798902,HK,,,전남,여수,,pit,pit2 Ⅱ층,,shell,,-0.88,,4490,60,Bae_et_al_2013,,,,,국립광주박물관 200:349-362,context updated using So's record,39.7126518442999
265,OR251,SNU07-A025,,안도 패총,,,Ando,,1,,34.4878,127.798902,HK,,,전남,여수,,pit,pit2 Ⅰ층,,shell,,-8.46,,6650,80,Bae_et_al_2013,,,,,국립광주박물관 200:349-362,context updated using So's record,39.7126518442999
266,OR252,SNU07-A026,,안도 패총,,,Ando,,1,,34.4878,127.798902,HK,,,전남,여수,,hearth,1호 노지,,shell,,-8.48,,5370,60,Bae_et_al_2013,,,,,국립광주박물관 200:349-362,context updated using So's record,39.7126518442999
267,OR253,SNU07-A027,,안도 패총,,,Ando,,1,,34.4878,127.798902,HK,,,전남,여수,,hearth,1호 노지,,shell,,-1.5,,6780,60,Bae_et_al_2013,,,,,국립광주박물관 200:349-362,context updated using So's record,39.7126518442999
268,OR254,SNU07-525,,당동리,,,Dangdongri,,1,,37.865239,126.780386,HK,,,경기,파주,,house,1-신석기 주거지 노지 2 내부,,charcoal,,-77.3,,3390,100,Jul 2020 (Kim),,,,,경기문화재연구원 2009:271~276.,,7924.36942293999
269,OR255,SNU07-466,,농서리,,,Nongseori,,1,,37.218375,127.086051,HK,,,경기,용인,,house,1호 주거지,북벽부근,charcoal,,-26.19,,4670,50,Jul 2020 (Kim),,,,,기호문화재연구원 2009:216~227.,,20988.9773781
270,OR256,SNU07-463,,농서리,,,Nongseori,,1,,37.218375,127.086051,HK,,,경기,용인,,house,2호 주거지,남벽부근,charcoal,,-29.19,,4360,50,Jul 2020 (Kim),,,,,기호문화재연구원 2009:216~227.,,20988.9773781
271,OR257,SNU07-464,,농서리,,,Nongseori,,1,,37.218375,127.086051,HK,,,경기,용인,,house,2호 주거지,수혈34호와 중복,charcoal,,-23.36,,4190,60,Jul 2020 (Kim),,,,,기호문화재연구원 2009:216~227.,,20988.9773781
272,OR258,SNU07-462,,농서리,,,Nongseori,,1,,37.218375,127.086051,HK,,,경기,용인,,house,2호 주거지,동벽부근,charcoal,,-29.94,,4340,50,Jul 2020 (Kim),,,,,기호문화재연구원 2009:216~227.,,20988.9773781
273,OR259,SNU07-467,,농서리,,,Nongseori,,1,,37.218375,127.086051,HK,,,경기,용인,,house,3호 주거지,서벽부근,charcoal,,-30.51,,4830,50,Jul 2020 (Kim),,,,,기호문화재연구원 2009:216~227.,,20988.9773781
274,OR260,SNU07-468,,농서리,,,Nongseori,,1,,37.218375,127.086051,HK,,,경기,용인,,house,5호 주거지,3번 주공,charcoal,,-33.09,,4530,60,Jul 2020 (Kim),,,,,기호문화재연구원 2009:216~227.,,20988.9773781
275,OR261,SNU07-469,,농서리,,,Nongseori,,1,,37.218375,127.086051,HK,,,경기,용인,,house,5호 주거지,,charcoal,,-28.83,,4480,60,Jul 2020 (Kim),,,,,기호문화재연구원 2009:216~227.,,20988.9773781
276,OR262,SNU07-470,,농서리,,,Nongseori,,1,,37.218375,127.086051,HK,,,경기,용인,,house,5호 주거지,서벽체,charcoal,,-29.77,,4370,50,Jul 2020 (Kim),,,,,기호문화재연구원 2009:216~227.,,20988.9773781
277,OR263,SNU07-471,,농서리,,,Nongseori,,1,,37.218375,127.086051,HK,,,경기,용인,,house,8호 주거지,,charcoal,,-31.75,,4590,60,Jul 2020 (Kim),,,,,기호문화재연구원 2009:216~227.,,20988.9773781
278,OR264,SNU07-472,,농서리,,,Nongseori,,1,,37.218375,127.086051,HK,,,경기,용인,,house,8호 주거지,,charcoal,,-30.71,,4360,50,Jul 2020 (Kim),,,,,기호문화재연구원 2009:216~227.,,20988.9773781
279,OR265,SNU07-473,,농서리,,,Nongseori,,1,,37.218375,127.086051,HK,,,경기,용인,,house,8호 주거지,,charcoal,,-30.05,,4350,50,Jul 2020 (Kim),,,,,기호문화재연구원 2009:216~227.,,20988.9773781
280,OR266,SNU07-474,,농서리,,,Nongseori,,1,,37.218375,127.086051,HK,,,경기,용인,,house,8호 주거지,,charcoal,,-27.07,,4370,50,Jul 2020 (Kim),,,,,기호문화재연구원 2009:216~227.,,20988.9773781
281,OR267,SNU07-475,,농서리,,,Nongseori,,1,,37.218375,127.086051,HK,,,경기,용인,,house,8호 주거지,,charcoal,,-28.55,,4400,60,Jul 2020 (Kim),,,,,기호문화재연구원 2009:216~227.,,20988.9773781
282,OR268,SNU07-476,,농서리,,,Nongseori,,1,,37.218375,127.086051,HK,,,경기,용인,,pit,5호 수혈,,charcoal,,-26.99,,4510,60,Jul 2020 (Kim),,,,,기호문화재연구원 2009:216~227.,,20988.9773781
283,OR269,SNU07-477,,농서리,,,Nongseori,,1,,37.218375,127.086051,HK,,,경기,용인,,pit,35호 수혈,,charcoal,,-29.51,,4360,60,Jul 2020 (Kim),,,,,기호문화재연구원 2009:216~227.,,20988.9773781
284,OR270,SNU07-207,,외삼포리,,,Oesampori,,1,,37.756,127.986494,HK,,,강원,홍천,,house,dwelling YS-6,,charcoal,,-27.46,,4920,80,Bae_et_al_2013,,,,,,"So says context is 야외노지, mat = soil",61148.8713159
285,OR271,SNU07-208,,외삼포리,,,Oesampori,,1,,37.756,127.986494,HK,,,강원,홍천,,house,dwelling YS-7,,charcoal,,-27.41,,4470,50,Bae_et_al_2013,,,,,,"So says context is 야외노지, mat = soil",61148.8713159
286,OR272,SNU07-200,,외삼포리,,,Oesampori,,1,,37.756,127.986494,HK,,,강원,홍천,,house,dwelling JN59-1,,charcoal,,,,8640,160,Bae_et_al_2013,,,,,,,61148.8713159
287,OR273,SNU07-120,,외삼포리,,,Oesampori,,1,,37.756,127.986494,HK,,,강원,홍천,,house,dwelling JN59-2,,charcoal,,,,5910,200,Bae_et_al_2013,,,,,,,61148.8713159
290,OR276,SNU08-480,,당동리,,,Dangdongri,,1,,37.865239,126.780386,HK,,,경기,파주,,outdoor hearth,7-신석기 1호 야외노지,,charcoal,,-23.23,,3910,50,Jul 2020 (Kim),,,,,경기문화재연구원 2009:271~276.,,7924.36942293999
291,OR277,SNU08-479,,당동리,,,Dangdongri,,1,,37.865239,126.780386,HK,,,경기,파주,,outdoor hearth,1-신석기 1호 야외노지,,charcoal,,-24.59,,3740,50,Jul 2020 (Kim),,,,,경기문화재연구원 2009:271~276.,,7924.36942293999
292,OR278,SNU07-107,,신길,,,Shingil,,1,,37.33568,126.785401,HK,,,경기,안산,,house,fire dwelling place floor on 1 st dwelling,,charcoal,,,,4720,50,Bae_et_al_2013,,,,,,,4313.37345946
293,OR279,SNU07-108,,신길,,,Shingil,,1,,37.33568,126.785401,HK,,,경기,안산,,house,fire dwelling place floor on 2nd dwelling,,charcoal,,,,4700,50,Bae_et_al_2013,,,,,,,4313.37345946
294,OR280,SNU07-109,,신길,,,Shingil,,1,,37.33568,126.785401,HK,,,경기,안산,,house,fire dwelling place floor on 4th dwelling,,charcoal,,,,4710,50,Bae_et_al_2013,,,,,,,4313.37345946
295,OR281,SNU07-110,,신길,,,Shingil,,1,,37.33568,126.785401,HK,,,경기,안산,,house,fire dwelling place floor on 5th dwelling,,charcoal,,,,4760,50,Bae_et_al_2013,,,,,,,4313.37345946
296,OR282,SNU07-111,,신길,,,Shingil,,1,,37.33568,126.785401,HK,,,경기,안산,,house,6th dwelling,,charcoal,,,,4620,50,Bae_et_al_2013,,,,,,,4313.37345946
297,OR283,SNU07-112,,신길,,,Shingil,,1,,37.33568,126.785401,HK,,,경기,안산,,house,7th dwelling,,charcoal,,,,4600,50,Bae_et_al_2013,,,,,,,4313.37345946
298,OR284,SNU07-113,,신길,,,Shingil,,1,,37.33568,126.785401,HK,,,경기,안산,,house,10th dwelling,,charcoal,,,,4710,50,Bae_et_al_2013,,,,,,,4313.37345946
299,OR285,SNU07-114,,신길,,,Shingil,,1,,37.33568,126.785401,HK,,,경기,안산,,house,11th dwelling,,charcoal,,,,4530,50,Bae_et_al_2013,,,,,,,4313.37345946
300,OR286,SNU07-115,,신길,,,Shingil,,1,,37.33568,126.785401,HK,,,경기,안산,,house,21th dwelling,,charcoal,,,,4610,50,Bae_et_al_2013,,,,,,,4313.37345946
301,OR287,SNU07-116,,신길,,,Shingil,,1,,37.33568,126.785401,HK,,,경기,안산,,house,22th dwelling,,charcoal,,,,4650,50,Bae_et_al_2013,,,,,,,4313.37345946
302,OR288,SNU08-917,,웅포리,,,Unpori,,1,,36.06106,126.892119,HK,,,전북,익산,,house,fire place on dwelling,,,,,,3460,50,Bae_et_al_2013,,,,,,,13324.6940056
303,OR289,SNU08-819,,제주 삼화지구 가-Ⅱ구역 유적,,,Samhwa Ga-2,,1,,33.516382,126.584535,HK,,,제주,,,pit,5호 수혈,,charcoal,,-41.42,,5740,80,Jul 2020 (Kim),,,,,제주 삼화지구 가-Ⅱ구역 유적 제주문화유산연구원 2010,,1026.37401406999
304,OR290,SNU08-820,,제주 삼화지구 가-Ⅱ구역 유적,,,Samhwa Ga-2,,1,,33.516382,126.584535,HK,,,제주,,,pit,9호 수혈,,charcoal,,-23.27,,3530,60,Jul 2020 (Kim),,,,,제주 삼화지구 가-Ⅱ구역 유적 제주문화유산연구원 2010,,1026.37401406999
305,OR291,SNU08-821,,제주 삼화지구 가-Ⅱ구역 유적,,,Samhwa Ga-2,,1,,33.516382,126.584535,HK,,,제주,,,pit,11호 수혈,,charcoal,,-40.12,,5530,80,Jul 2020 (Kim),,,,,제주 삼화지구 가-Ⅱ구역 유적 제주문화유산연구원 2010,,1026.37401406999
306,OR292,SNU08-822,,제주 삼화지구 가-Ⅱ구역 유적,,,Samhwa Ga-2,,1,,33.516382,126.584535,HK,,,제주,,,pit,12호 수혈,,charcoal,,-25.89,,4790,60,Jul 2020 (Kim),,,,,제주 삼화지구 가-Ⅱ구역 유적 제주문화유산연구원 2010,,1026.37401406999
307,OR293,SNU08-823,,제주 삼화지구 가-Ⅱ구역 유적,,,Samhwa Ga-2,,1,,33.516382,126.584535,HK,,,제주,,,pit,13호 수혈 중간층,,charcoal,,-17.13,,4040,50,Jul 2020 (Kim),,,,,제주 삼화지구 가-Ⅱ구역 유적 제주문화유산연구원 2010,,1026.37401406999
308,OR294,SNU08-824,,제주 삼화지구 가-Ⅱ구역 유적,,,Samhwa Ga-2,,1,,33.516382,126.584535,HK,,,제주,,,pit,14호 수혈 바닥층,,charcoal,,-25.88,,3730,60,Jul 2020 (Kim),,,,,제주 삼화지구 가-Ⅱ구역 유적 제주문화유산연구원 2010,,1026.37401406999
309,OR295,SNU08-825,,제주 삼화지구 가-Ⅱ구역 유적,,,Samhwa Ga-2,,1,,33.516382,126.584535,HK,,,제주,,,pit,14호 원형수혈,,charcoal,,-20.15,,3980,60,Jul 2020 (Kim),,,,,제주 삼화지구 가-Ⅱ구역 유적 제주문화유산연구원 2010,,1026.37401406999
310,OR296,SNU08-827,,제주 삼화지구 가-Ⅱ구역 유적,,,Samhwa Ga-2,,1,,33.516382,126.584535,HK,,,제주,,,pit,17호 수혈,,charcoal,,-33.08,,4980,60,Jul 2020 (Kim),,,,,제주 삼화지구 가-Ⅱ구역 유적 제주문화유산연구원 2010,,1026.37401406999
311,OR297,SNU08-828,,제주 삼화지구 가-Ⅱ구역 유적,,,Samhwa Ga-2,,1,,33.516382,126.584535,HK,,,제주,,,pit,17호 수혈 3층,,charcoal,,-25.82,,4810,50,Jul 2020 (Kim),,,,,제주 삼화지구 가-Ⅱ구역 유적 제주문화유산연구원 2010,,1026.37401406999
312,OR298,SNU08-829,,제주 삼화지구 가-Ⅱ구역 유적,,,Samhwa Ga-2,,1,,33.516382,126.584535,HK,,,제주,,,pit,17호 원형수혈,,charcoal,,-36.58,,4940,50,Jul 2020 (Kim),,,,,제주 삼화지구 가-Ⅱ구역 유적 제주문화유산연구원 2010,,1026.37401406999
313,OR299,SNU08-830,,제주 삼화지구 가-Ⅱ구역 유적,,,Samhwa Ga-2,,1,,33.516382,126.584535,HK,,,제주,,,pit,22호 수혈,,charcoal,,-34.83,,4980,60,Jul 2020 (Kim),,,,,제주 삼화지구 가-Ⅱ구역 유적 제주문화유산연구원 2010,,1026.37401406999
314,OR300,SNU08-831,,제주 삼화지구 가-Ⅱ구역 유적,,,Samhwa Ga-2,,1,,33.516382,126.584535,HK,,,제주,,,pit,24호 원형수혈,,charcoal,,-41.82,,5400,80,Jul 2020 (Kim),,,,,제주 삼화지구 가-Ⅱ구역 유적 제주문화유산연구원 2010,,1026.37401406999
315,OR301,SNU08-832,,제주 삼화지구 가-Ⅱ구역 유적,,,Samhwa Ga-2,,1,,33.516382,126.584535,HK,,,제주,,,pit,26호 수혈,,charcoal,,-29.57,,3700,60,Jul 2020 (Kim),,,,,제주 삼화지구 가-Ⅱ구역 유적 제주문화유산연구원 2010,,1026.37401406999
316,OR302,SNU08-833,,제주 삼화지구 가-Ⅱ구역 유적,,,Samhwa Ga-2,,1,,33.516382,126.584535,HK,,,제주,,,pit,40호 수혈 바닥층,,charcoal,,-34.8,,5260,60,Jul 2020 (Kim),,,,,제주 삼화지구 가-Ⅱ구역 유적 제주문화유산연구원 2010,,1026.37401406999
317,OR303,SNU08-834,,제주 삼화지구 가-Ⅱ구역 유적,,,Samhwa Ga-2,,1,,33.516382,126.584535,HK,,,제주,,,pit,41호 수혈,,charcoal,,-34.83,,5240,60,Jul 2020 (Kim),,,,,제주 삼화지구 가-Ⅱ구역 유적 제주문화유산연구원 2010,,1026.37401406999
318,OR304,SNU08-835,,제주 삼화지구 가-Ⅱ구역 유적,,,Samhwa Ga-2,,1,,33.516382,126.584535,HK,,,제주,,,pit,44호 수혈 북편내부시설,,charcoal,,-24.8,,5060,50,Jul 2020 (Kim),,,,,제주 삼화지구 가-Ⅱ구역 유적 제주문화유산연구원 2010,,1026.37401406999
319,OR305,SNU08-836,,제주 삼화지구 가-Ⅱ구역 유적,,,Samhwa Ga-2,,1,,33.516382,126.584535,HK,,,제주,,,pit,46호 수혈 바닥층,,charcoal,,-33.95,,5330,50,Jul 2020 (Kim),,,,,제주 삼화지구 가-Ⅱ구역 유적 제주문화유산연구원 2010,,1026.37401406999
320,OR306,SNU08-842,,제주 삼화지구 가-Ⅱ구역 유적,,,Samhwa Ga-2,,1,,33.516382,126.584535,HK,,,제주,,,pit,48호 수혈,,charcoal,,-29.29,,2510,60,Jul 2020 (Kim),,,,,제주 삼화지구 가-Ⅱ구역 유적 제주문화유산연구원 2010,,1026.37401406999
327,OR313,SNU08-238,,능곡,,,Neunggok,,1,,37.37582,126.811394,HK,,,경기,시흥,,house,신석기 2호주거지 노지내부,,charcoal,,-27.68,,4730,50,Bae_et_al_2013,MC,,,,기전문화재연구원,,2904.73117691
328,OR314,SNU08-239,,능곡,,,Neunggok,,1,,37.37582,126.811394,HK,,,경기,시흥,,house,신석기 4호주거지 노지내부 IV층,,charcoal,,-32.84,,4690,70,Bae_et_al_2013,MC,,,,기전문화재연구원,,2904.73117691
329,OR315,SNU08-240,,능곡,,,Neunggok,,1,,37.37582,126.811394,HK,,,경기,시흥,,house,신석기 6호주거지 노지 소결층,,charcoal,,-26.26,,4870,50,Bae_et_al_2013,MC,,,,기전문화재연구원,,2904.73117691
330,OR316,SNU08-241,,능곡,,,Neunggok,,1,,37.37582,126.811394,HK,,,경기,시흥,,house,신석기 7호주거지 노지내부 II과 IV층 사이,,charcoal,,-23.66,,4830,50,Bae_et_al_2013,MC,,,,기전문화재연구원,,2904.73117691
331,OR317,SNU08-242,,능곡,,,Neunggok,,1,,37.37582,126.811394,HK,,,경기,시흥,,house,신석기 9호주거지,,charcoal,,-27.69,,4580,60,Bae_et_al_2013,MC,,,,기전문화재연구원,,2904.73117691
332,OR318,SNU08-243,,능곡,,,Neunggok,,1,,37.37582,126.811394,HK,,,경기,시흥,,house,신석기 11호 주거지,,charcoal,,-31.95,,4750,60,Bae_et_al_2013,MC,,,,기전문화재연구원,,2904.73117691
333,OR319,SNU08-244,,능곡,,,Neunggok,,1,,37.37582,126.811394,HK,,,경기,시흥,,house,신석기 12호 주거지 노지내부,,charcoal,,-37.57,,4520,80,Bae_et_al_2013,MC,,,,기전문화재연구원,,2904.73117691
334,OR320,SNU08-245,,능곡,,,Neunggok,,1,,37.37582,126.811394,HK,,,경기,시흥,,house,신석기 13호 주거지,,charcoal,,-26.17,,4970,50,Bae_et_al_2013,MC,,,,기전문화재연구원,,2904.73117691
335,OR321,SNU08-247,,능곡,,,Neunggok,,1,,37.37582,126.811394,HK,,,경기,시흥,,house,신석기 16호 주거지 바닥층,,charcoal,,-23.8,,4900,50,Bae_et_al_2013,MC,,,,기전문화재연구원,,2904.73117691
