Entry,Labcode,Labcode_cmt,Labcode_cmt2,Site name,Site name_cmt,Probable correct site name,Site name in English,Corrected_name,location accuracy score (1=best),location_cmt,Lat,Long,location_recorder,per,Abb_Name,Prov,City,Sample name,Context,Context2,Context_cmt,Material,Materail_cmt,13C(0/00),13C(0/00)_range,uncal_bp,uncal_range,collected_season,SUBPHASE,SUBPHASE_cmt,seed_association,seed_cmt,coast_manual,Reference,Remark
279,SNU07-473,,,농서리,,,Nongseori,,1,,37.218375,127.086051,HK,,,경기,용인,,house,8호 주거지,,charcoal,,-30.05,,4350,50,Jul 2020 (Kim),,,,,,기호문화재연구원 2009:216~227.,
280,SNU07-474,,,농서리,,,Nongseori,,1,,37.218375,127.086051,HK,,,경기,용인,,house,8호 주거지,,charcoal,,-27.07,,4370,50,Jul 2020 (Kim),,,,,,기호문화재연구원 2009:216~227.,
281,SNU07-475,,,농서리,,,Nongseori,,1,,37.218375,127.086051,HK,,,경기,용인,,house,8호 주거지,,charcoal,,-28.55,,4400,60,Jul 2020 (Kim),,,,,,기호문화재연구원 2009:216~227.,
282,SNU07-476,,,농서리,,,Nongseori,,1,,37.218375,127.086051,HK,,,경기,용인,,pit,5호 수혈,,charcoal,,-26.99,,4510,60,Jul 2020 (Kim),,,,,,기호문화재연구원 2009:216~227.,
283,SNU07-477,,,농서리,,,Nongseori,,1,,37.218375,127.086051,HK,,,경기,용인,,pit,35호 수혈,,charcoal,,-29.51,,4360,60,Jul 2020 (Kim),,,,,,기호문화재연구원 2009:216~227.,
284,SNU07-207,,,외삼포리,,,Oesampori,,1,,37.756,127.986494,HK,,,강원,홍천,,house,주거지,,charcoal,,-27.46,,4920,80,Jul 2020 (Kim),,,,,,강원문화재연구소 2008:209-217,보고서 AMS리포트는 sediment라고하나 시료ID가 주고지 출토 목탄시료인것으로 보아 목탄으로 판단됨
285,SNU07-208,,,외삼포리,,,Oesampori,,1,,37.756,127.986494,HK,,,강원,홍천,,house,주거지,,charcoal,,-27.41,,4470,50,Jul 2020 (Kim),,,,,,강원문화재연구소 2008:209-217,보고서 AMS리포트는 sediment라고하나 시료ID가 주고지 출토 목탄시료인것으로 보아 목탄으로 판단됨
290,SNU08-480,,,당동리,,,Dangdongri,,1,,37.865239,126.780386,HK,,,경기,파주,,outdoor hearth,7-신석기 1호 야외노지,,charcoal,,-23.23,,3910,50,Jul 2020 (Kim),,,,,,경기문화재연구원 2009:271~276.,
291,SNU08-479,,,당동리,,,Dangdongri,,1,,37.865239,126.780386,HK,,,경기,파주,,outdoor hearth,1-신석기 1호 야외노지,,charcoal,,-24.59,,3740,50,Jul 2020 (Kim),,,,,,경기문화재연구원 2009:271~276.,
292,SNU07-107,,,신길,,,Shingil,,1,,37.33568,126.785401,HK,,,경기,안산,,house,1호 주거지,,charcoal,,,,4720,50,Apr_2017 (So),,,,,,고려문화재연구원 2009(Ⅱ):276-280.,
293,SNU07-108,,,신길,,,Shingil,,1,,37.33568,126.785401,HK,,,경기,안산,,house,2호 주거지,,charcoal,,,,4700,50,Apr_2017 (So),,,,,,고려문화재연구원 2009(Ⅱ):276-280.,
294,SNU07-109,,,신길,,,Shingil,,1,,37.33568,126.785401,HK,,,경기,안산,,house,4호 주거지,,charcoal,,,,4710,50,Apr_2017 (So),,,,,,고려문화재연구원 2009(Ⅱ):276-280.,
295,SNU07-110,,,신길,,,Shingil,,1,,37.33568,126.785401,HK,,,경기,안산,,house,5호 주거지,,charcoal,,,,4760,50,Apr_2017 (So),,,,,,고려문화재연구원 2009(Ⅱ):276-280.,
296,SNU07-111,,,신길,,,Shingil,,1,,37.33568,126.785401,HK,,,경기,안산,,house,6호 주거지,,charcoal,,,,4620,50,Apr_2017 (So),,,,,,고려문화재연구원 2009(Ⅱ):276-280.,
297,SNU07-112,,,신길,,,Shingil,,1,,37.33568,126.785401,HK,,,경기,안산,,house,7호 주거지,,charcoal,,,,4600,50,Apr_2017 (So),,,,,,고려문화재연구원 2009(Ⅱ):276-280.,
298,SNU07-113,,,신길,,,Shingil,,1,,37.33568,126.785401,HK,,,경기,안산,,house,10호 주거지,,charcoal,,,,4710,50,Apr_2017 (So),,,,,,고려문화재연구원 2009(Ⅱ):276-280.,
299,SNU07-114,,,신길,,,Shingil,,1,,37.33568,126.785401,HK,,,경기,안산,,house,11호 주거지,,charcoal,,,,4530,50,Apr_2017 (So),,,,,,고려문화재연구원 2009(Ⅱ):276-280.,
300,SNU07-115,,,신길,,,Shingil,,1,,37.33568,126.785401,HK,,,경기,안산,,house,21호 주거지,,charcoal,,,,4610,50,Apr_2017 (So),,,,,,고려문화재연구원 2009(Ⅱ):276-280.,
301,SNU07-116,,,신길,,,Shingil,,1,,37.33568,126.785401,HK,,,경기,안산,,house,22호 주거지,,charcoal,,,,4650,50,Apr_2017 (So),,,,,,고려문화재연구원 2009(Ⅱ):276-280.,
303,SNU08-819,,,제주 삼화지구 가-Ⅱ구역 유적,,,Samhwa Ga-2,,1,,33.516382,126.584535,HK,,,제주,,,pit,5호 수혈,,charcoal,,-41.42,,5740,80,Jul 2020 (Kim),,,,,,제주 삼화지구 가-Ⅱ구역 유적 제주문화유산연구원 2010,
304,SNU08-820,,,제주 삼화지구 가-Ⅱ구역 유적,,,Samhwa Ga-2,,1,,33.516382,126.584535,HK,,,제주,,,pit,9호 수혈,,charcoal,,-23.27,,3530,60,Jul 2020 (Kim),,,,,,제주 삼화지구 가-Ⅱ구역 유적 제주문화유산연구원 2010,
305,SNU08-821,,,제주 삼화지구 가-Ⅱ구역 유적,,,Samhwa Ga-2,,1,,33.516382,126.584535,HK,,,제주,,,pit,11호 수혈,,charcoal,,-40.12,,5530,80,Jul 2020 (Kim),,,,,,제주 삼화지구 가-Ⅱ구역 유적 제주문화유산연구원 2010,
306,SNU08-822,,,제주 삼화지구 가-Ⅱ구역 유적,,,Samhwa Ga-2,,1,,33.516382,126.584535,HK,,,제주,,,pit,12호 수혈,,charcoal,,-25.89,,4790,60,Jul 2020 (Kim),,,,,,제주 삼화지구 가-Ⅱ구역 유적 제주문화유산연구원 2010,
307,SNU08-823,,,제주 삼화지구 가-Ⅱ구역 유적,,,Samhwa Ga-2,,1,,33.516382,126.584535,HK,,,제주,,,pit,13호 수혈 중간층,,charcoal,,-17.13,,4040,50,Jul 2020 (Kim),,,,,,제주 삼화지구 가-Ⅱ구역 유적 제주문화유산연구원 2010,
308,SNU08-824,,,제주 삼화지구 가-Ⅱ구역 유적,,,Samhwa Ga-2,,1,,33.516382,126.584535,HK,,,제주,,,pit,14호 수혈 바닥층,,charcoal,,-25.88,,3730,60,Jul 2020 (Kim),,,,,,제주 삼화지구 가-Ⅱ구역 유적 제주문화유산연구원 2010,
309,SNU08-825,,,제주 삼화지구 가-Ⅱ구역 유적,,,Samhwa Ga-2,,1,,33.516382,126.584535,HK,,,제주,,,pit,14호 원형수혈,,charcoal,,-20.15,,3980,60,Jul 2020 (Kim),,,,,,제주 삼화지구 가-Ⅱ구역 유적 제주문화유산연구원 2010,
310,SNU08-827,,,제주 삼화지구 가-Ⅱ구역 유적,,,Samhwa Ga-2,,1,,33.516382,126.584535,HK,,,제주,,,pit,17호 수혈,,charcoal,,-33.08,,4980,60,Jul 2020 (Kim),,,,,,제주 삼화지구 가-Ⅱ구역 유적 제주문화유산연구원 2010,
311,SNU08-828,,,제주 삼화지구 가-Ⅱ구역 유적,,,Samhwa Ga-2,,1,,33.516382,126.584535,HK,,,제주,,,pit,17호 수혈 3층,,charcoal,,-25.82,,4810,50,Jul 2020 (Kim),,,,,,제주 삼화지구 가-Ⅱ구역 유적 제주문화유산연구원 2010,
312,SNU08-829,,,제주 삼화지구 가-Ⅱ구역 유적,,,Samhwa Ga-2,,1,,33.516382,126.584535,HK,,,제주,,,pit,17호 원형수혈,,charcoal,,-36.58,,4940,50,Jul 2020 (Kim),,,,,,제주 삼화지구 가-Ⅱ구역 유적 제주문화유산연구원 2010,
313,SNU08-830,,,제주 삼화지구 가-Ⅱ구역 유적,,,Samhwa Ga-2,,1,,33.516382,126.584535,HK,,,제주,,,pit,22호 수혈,,charcoal,,-34.83,,4980,60,Jul 2020 (Kim),,,,,,제주 삼화지구 가-Ⅱ구역 유적 제주문화유산연구원 2010,
314,SNU08-831,,,제주 삼화지구 가-Ⅱ구역 유적,,,Samhwa Ga-2,,1,,33.516382,126.584535,HK,,,제주,,,pit,24호 원형수혈,,charcoal,,-41.82,,5400,80,Jul 2020 (Kim),,,,,,제주 삼화지구 가-Ⅱ구역 유적 제주문화유산연구원 2010,
315,SNU08-832,,,제주 삼화지구 가-Ⅱ구역 유적,,,Samhwa Ga-2,,1,,33.516382,126.584535,HK,,,제주,,,pit,26호 수혈,,charcoal,,-29.57,,3700,60,Jul 2020 (Kim),,,,,,제주 삼화지구 가-Ⅱ구역 유적 제주문화유산연구원 2010,
316,SNU08-833,,,제주 삼화지구 가-Ⅱ구역 유적,,,Samhwa Ga-2,,1,,33.516382,126.584535,HK,,,제주,,,pit,40호 수혈 바닥층,,charcoal,,-34.8,,5260,60,Jul 2020 (Kim),,,,,,제주 삼화지구 가-Ⅱ구역 유적 제주문화유산연구원 2010,
317,SNU08-834,,,제주 삼화지구 가-Ⅱ구역 유적,,,Samhwa Ga-2,,1,,33.516382,126.584535,HK,,,제주,,,pit,41호 수혈,,charcoal,,-34.83,,5240,60,Jul 2020 (Kim),,,,,,제주 삼화지구 가-Ⅱ구역 유적 제주문화유산연구원 2010,
318,SNU08-835,,,제주 삼화지구 가-Ⅱ구역 유적,,,Samhwa Ga-2,,1,,33.516382,126.584535,HK,,,제주,,,pit,44호 수혈 북편내부시설,,charcoal,,-24.8,,5060,50,Jul 2020 (Kim),,,,,,제주 삼화지구 가-Ⅱ구역 유적 제주문화유산연구원 2010,
319,SNU08-836,,,제주 삼화지구 가-Ⅱ구역 유적,,,Samhwa Ga-2,,1,,33.516382,126.584535,HK,,,제주,,,pit,46호 수혈 바닥층,,charcoal,,-33.95,,5330,50,Jul 2020 (Kim),,,,,,제주 삼화지구 가-Ⅱ구역 유적 제주문화유산연구원 2010,
320,SNU08-842,,,제주 삼화지구 가-Ⅱ구역 유적,,,Samhwa Ga-2,,1,,33.516382,126.584535,HK,,,제주,,,pit,48호 수혈,,charcoal,,-29.29,,2510,60,Jul 2020 (Kim),,,,,,제주 삼화지구 가-Ⅱ구역 유적 제주문화유산연구원 2010,
327,SNU08-238,,,능곡,,,Neunggok,,1,,37.37582,126.811394,HK,,,경기,시흥,,house, 2호주거지 노지내부,,charcoal,,-27.68,,4730,50,Apr_2017 (So),MC,,,,,경기문화재연구원 2010(분석자료):71-91.,
328,SNU08-239,,,능곡,,,Neunggok,,1,,37.37582,126.811394,HK,,,경기,시흥,,house, 4호주거지 노지내부 IV층,,charcoal,,-32.84,,4690,70,Apr_2017 (So),MC,,,,,경기문화재연구원 2010(분석자료):71-91.,
329,SNU08-240,,,능곡,,,Neunggok,,1,,37.37582,126.811394,HK,,,경기,시흥,,house,6호주거지 노지 소결층,,charcoal,,-26.26,,4870,50,Apr_2017 (So),MC,,,,,경기문화재연구원 2010(분석자료):71-91.,
330,SNU08-241,,,능곡,,,Neunggok,,1,,37.37582,126.811394,HK,,,경기,시흥,,house,7호주거지 노지내부 II과 IV층 사이,,charcoal,,-23.66,,4830,50,Apr_2017 (So),MC,,,,,경기문화재연구원 2010(분석자료):71-91.,
331,SNU08-242,,,능곡,,,Neunggok,,1,,37.37582,126.811394,HK,,,경기,시흥,,house,9호주거지,,charcoal,,-27.69,,4580,60,Apr_2017 (So),MC,,,,,경기문화재연구원 2010(분석자료):71-91.,
332,SNU08-243,,,능곡,,,Neunggok,,1,,37.37582,126.811394,HK,,,경기,시흥,,house,11호 주거지,,charcoal,,-31.95,,4750,60,Apr_2017 (So),MC,,,,,경기문화재연구원 2010(분석자료):71-91.,
333,SNU08-244,,,능곡,,,Neunggok,,1,,37.37582,126.811394,HK,,,경기,시흥,,house,12호 주거지 노지내부,,charcoal,,-37.57,,4520,80,Apr_2017 (So),MC,,,,,경기문화재연구원 2010(분석자료):71-91.,
334,SNU08-245,,,능곡,,,Neunggok,,1,,37.37582,126.811394,HK,,,경기,시흥,,house,13호 주거지,,charcoal,,-26.17,,4970,50,Apr_2017 (So),MC,,,,,경기문화재연구원 2010(분석자료):71-91.,
335,SNU08-247,,,능곡,,,Neunggok,,1,,37.37582,126.811394,HK,,,경기,시흥,,house,16호 주거지 바닥층,,charcoal,,-23.8,,4900,50,Apr_2017 (So),MC,,,,,경기문화재연구원 2010(분석자료):71-91.,
336,SNU08-248,,,능곡,,,Neunggok,,1,,37.37582,126.811394,HK,,,경기,시흥,,house,18호 주거지 노지내부,,charcoal,,-17.5,,4840,50,Apr_2017 (So),MC,,,,,경기문화재연구원 2010(분석자료):71-91.,
337,SNU08-249,,,능곡,,,Neunggok,,1,,37.37582,126.811394,HK,,,경기,시흥,,house,18호 주거지 노지내부,,charcoal,,-27.86,,4780,50,Apr_2017 (So),MC,,,,,경기문화재연구원 2010(분석자료):71-91.,
338,SNU08-250,,,능곡,,,Neunggok,,1,,37.37582,126.811394,HK,,,경기,시흥,,house,19호 주거지,,charcoal,,-23.98,,4860,50,Apr_2017 (So),MC,,FM G BM G Azuki G,,,경기문화재연구원 2010(분석자료):71-91.,
339,SNU08-251,,,능곡,,,Neunggok,,1,,37.37582,126.811394,HK,,,경기,시흥,,house,20호 주거지,,charcoal,,-24.78,,4800,50,Apr_2017 (So),MC,,,,,경기문화재연구원 2010(분석자료):71-91.,
340,SNU08-253,,,능곡,,,Neunggok,,1,,37.37582,126.811394,HK,,,경기,시흥,,house,23호 주거지,,charcoal,,-36.81,,4620,70,Apr_2017 (So),MC,,,,,경기문화재연구원 2010(분석자료):71-91.,
357,SNU08-R094,,,운서동 2,,,Unseodong 2,,1,운서동2 (중앙) 좌표,37.501765,126.50171,HK,,,경기,인천,,hearth,III-1호 야외노지,,charcoal,,-25.72,,4490,60,Jul 2020 (Kim),,,,,,"인천 운서동 II 유적, 중앙문화재연구원 2010",
358,SNU08-R095,,,운서동 2,,,Unseodong 2,,1,운서동2 (중앙) 좌표,37.501765,126.50171,HK,,,경기,인천,,house,III-1호 주거지,,charcoal,,-33.29,,4780,60,Jul 2020 (Kim),,,,,,"인천 운서동 II 유적, 중앙문화재연구원 2010",
359,SNU08-R096,,,운서동 2,,,Unseodong 2,,1,운서동2 (중앙) 좌표,37.501765,126.50171,HK,,,경기,인천,,house,III-2호 주거지,,charcoal,,-21.74,,3140,50,Jul 2020 (Kim),,,,,,"인천 운서동 II 유적, 중앙문화재연구원 2010",
360,SNU08-R097,,,운서동 2,,,Unseodong 2,,1,운서동2 (중앙) 좌표,37.501765,126.50171,HK,,,경기,인천,,house,III-5호 주거지,,charcoal,,-23.52,,3370,50,Jul 2020 (Kim),,,,,,"인천 운서동 II 유적, 중앙문화재연구원 2010",
362,SNU08-775,,,중산동,,,Jungsandong,,1,,37.485366,126.551862,HK,,,경기,인천,,outdoor hearth,3지역 4호 야외노지,,charcoal,,-20.6,,4060,80,Apr_2017 (So),,,,,,"인천 중산동 유적, 중앙문화재연구원 2011",
363,SNU09-R209,,,운서동 1,,,Unseodong 1,,1,운서동 1 (중앙) 좌표,37.495228,126.495015,HK,,,경기,인천,,house,I-2-3호 주거지,,charcoal,,-22.36,,5040,50,Jul 2020 (Kim),,,,,,"인천 운서동 I 유적, 중앙문화재연구원 2010",
364,SNU09-R210,,,운서동 1,,,Unseodong 1,,1,운서동 1 (중앙) 좌표,37.495228,126.495015,HK,,,경기,인천,,house,I-2-16호 주거지,,charcoal,,-21.49,,4550,80,Jul 2020 (Kim),,,,,,"인천 운서동 I 유적, 중앙문화재연구원 2010",
365,SNU09-R211,,,운서동 1,,,Unseodong 1,,1,운서동 1 (중앙) 좌표,37.495228,126.495015,HK,,,경기,인천,,house,I-2-21호 주거지,,charcoal,,-40.12,,4920,80,Jul 2020 (Kim),,,,,,"인천 운서동 I 유적, 중앙문화재연구원 2010",
366,SNU09-R212,,,운서동 1,,,Unseodong 1,,1,운서동 1 (중앙) 좌표,37.495228,126.495015,HK,,,경기,인천,,house,I-2-30호 주거지,,charcoal,,-23.23,,4990,60,Jul 2020 (Kim),,,,,,"인천 운서동 I 유적, 중앙문화재연구원 2010",
367,SNU09-R213,,,운서동 1,,,Unseodong 1,,1,운서동 1 (중앙) 좌표,37.495228,126.495015,HK,,,경기,인천,,house,I-2-57호 주거지,,charcoal,,-23.23,,3360,60,Jul 2020 (Kim),,,,,,"인천 운서동 I 유적, 중앙문화재연구원 2010",
368,SNU09-R134,,,평거동,,,Pyeonggeodong,,1,,35.16712,128.056004,HK,,,경남,진주,,outdoor hearth,신석기시대 7호 야외노지 바닥,,charcoal,,,,3550,60,Jul 2020 (Kim),,,,,,"Kim and Yun 2011 The availability and use of wood resources at the multi-periodsettlement site of Pyeonggeo-dong, Jinju, South Korea Veget Hist Archaeobot (2011) 20:67–77",
369,SNU09-047,,,용장리,,,Yongjangri,,1,"청동기유구위치를 임의로 사용하였으나, 신석기 유구가 있는지는 추가확인필요",35.78921,129.205119,HK,,,경북,경주,,pit,수혈 1호,,charcoal,,-24.95,,4500,60,Jul 2020 (Kim),,,,,,용장리 월성박씨재실 유적 신라문화유산연구원 2010,
370,SNU09-048,,,용장리,,,Yongjangri,,1,"청동기유구위치를 임의로 사용하였으나, 신석기 유구가 있는지는 추가확인필요",35.78921,129.205119,HK,,,경북,경주,,pit,수혈 1호,,charcoal,,-33.64,,4560,60,Jul 2020 (Kim),,,,,,용장리 월성박씨재실 유적 신라문화유산연구원 2010,
371,SNU09-049,,,용장리,,,Yongjangri,,1,"청동기유구위치를 임의로 사용하였으나, 신석기 유구가 있는지는 추가확인필요",35.78921,129.205119,HK,,,경북,경주,,pit,수혈 1호,,charcoal,,-74.5,,4360,60,Jul 2020 (Kim),,,,,,용장리 월성박씨재실 유적 신라문화유산연구원 2010,
381,SNU10-1255,,,경서동,,,Gyeongseodong,,1,,37.556148,126.666357,HK,,,경기,인천,,house,2지점 1호 주거지,노지 남측 소결면,charcoal,,-15.01,,4340,50,Jul 2020 (Kim),,,,,,경서동유적 한강문화재연구원 2012,
382,SNU10-1256,,,경서동,,,Gyeongseodong,,1,,37.556148,126.666357,HK,,,경기,인천,,house,2지점 2호 주거지,동남부 모서리 수혈,charcoal,,-8.83,,4430,40,Jul 2020 (Kim),,,,,,경서동유적 한강문화재연구원 2012,
383,SNU10-1258,,,경서동,,,Gyeongseodong,,1,,37.556148,126.666357,HK,,,경기,인천,,house,2지점 2호 주거지,노지 IV층,charcoal,,-31.35,,4340,50,Jul 2020 (Kim),,,,,,경서동유적 한강문화재연구원 2012,
385,SNU10-1097,,,비봉리,,,Bibongri,,1,,35.41067,128.645405,HK,,,경남,창녕,,strat,2차조사 26th layer (자연목  from pit II),,wood,,,,5560,50,Jul 2020 (Kim),,,,,T,국립김해박물관 2008,2차보고서
386,SNU10-1098,,,비봉리,,,Bibongri,,1,,35.41067,128.645405,HK,,,경남,창녕,,strat,1부석층(same layer as shell layer 1); 부석층 바닥면 수습 탄화유기물,,charcoal,,,,5530,50,Jul 2020 (Kim),IC,"Initial 조기전반(평행융기대문, 융기선문, 구순각목점열문)",FM IG BMI,,T,"국립김해박물관 2012:294, 331~334",2차보고서
387,SNU10-1099,,,비봉리,,,Bibongri,,1,,35.41067,128.645405,HK,,,경남,창녕,,strat,1부석층(same layer as shell layer 1); 부석층 수습 불에 탄 자연목,,wood,,,,5270,50,Jul 2020 (Kim),IC,"Initial 조기전반(평행융기대문, 융기선문, 구순각목점열문)",FM IG BMI,,T,"국립김해박물관 2012:294, 331~334",2차보고서
388,SNU10-1100,,,비봉리,,,Bibongri,,1,,35.41067,128.645405,HK,,,경남,창녕,,strat,2차조사 26th layer (가래  from pit V),,wood,,,,5060,50,Jul 2020 (Kim),,,,,T,"국립김해박물관 2012:294, 331~334",2차보고서
389,SNU10-1101,,,비봉리,,,Bibongri,,1,,35.41067,128.645405,HK,,,경남,창녕,,strat,2차조사 31th layer (3패층 is within 31층; 솔방울 from pit II),,wood,,,,6170,50,Jul 2020 (Kim),,,,,T,"국립김해박물관 2012:294, 331~334",2차보고서
390,SNU10-1102,,,비봉리,,,Bibongri,,1,,35.41067,128.645405,HK,,,경남,창녕,,strat,2차조사 31th layer (3패층 is within 31층),,wood,,,,5990,50,Jul 2020 (Kim),,,,,T,"국립김해박물관 2012:294, 331~334",2차보고서
391,SNU10-1103,,,비봉리,,,Bibongri,,1,,35.41067,128.645405,HK,,,경남,창녕,,strat,2차조사 31th layer (3패층 is within 31층; 자연목 from pit II-1),,wood,,,,6250,50,Jul 2020 (Kim),,,,,T,"국립김해박물관 2012:294, 331~334",2차보고서
392,SNU10-1105,,,비봉리,,,Bibongri,,1,,35.41067,128.645405,HK,,,경남,창녕,,strat,Shell layer 5 (솔방울 from 5패층 상면  from II-1 pit),,wood,,,,6580,50,Jul 2020 (Kim),,,,,T,"국립김해박물관 2012:294, 331~334",2차보고서
393,SNU10-1106,,,비봉리,,,Bibongri,,1,,35.41067,128.645405,HK,,,경남,창녕,,strat,Shell layer 5 (가래 from 5패층 from II-1 pit),,wood,,,,6560,50,Jul 2020 (Kim),,,,,T,"국립김해박물관 2012:294, 331~334",2차보고서
394,SNU10-1107,,,비봉리,,,Bibongri,,1,,35.41067,128.645405,HK,,,경남,창녕,,strat,Shell layer 5 (가래 from 5패층 from II-1 pit),,wood,,,,6430,50,Jul 2020 (Kim),,,,,T,"국립김해박물관 2012:294, 331~334",2차보고서
395,SNU10-1108,,,비봉리,,,Bibongri,,1,,35.41067,128.645405,HK,,,경남,창녕,,strat,Shell layer 5 (가래 from 5패층 from II-1 pit),,wood,,,,6570,50,Jul 2020 (Kim),,,,,T,"국립김해박물관 2012:294, 331~334",2차보고서
396,SNU10-1109,,,비봉리,,,Bibongri,,1,,35.41067,128.645405,HK,,,경남,창녕,,strat,2차조사 35th layer (솔방울 from 35층 상면 from II-1 pit),,wood,,,,6870,50,Jul 2020 (Kim),,,,,T,"국립김해박물관 2012:294, 331~334",2차보고서
397,SNU10-1110,,,비봉리,,,Bibongri,,1,,35.41067,128.645405,HK,,,경남,창녕,,strat,2차조사 37th layer (목재 from 37층 상면 from II-1 pit),,wood,,,,6910,50,Jul 2020 (Kim),,,,,T,"국립김해박물관 2012:294, 331~334",2차보고서
398,SNU10-1111,,,비봉리,,,Bibongri,,1,,35.41067,128.645405,HK,,,경남,창녕,,strat,2차조사 35th layer (목재 from 35층 상면 from II-1 pit),,wood,,,,7000,50,Jul 2020 (Kim),,,,,T,"국립김해박물관 2012:294, 331~334",2차보고서
399,SNU10-1112,,,비봉리,,,Bibongri,,1,,35.41067,128.645405,HK,,,경남,창녕,,strat,2차조사 36th layer (자연목 from 36층 from II-1 pit),,wood,,,,6850,50,Jul 2020 (Kim),,,,,T,"국립김해박물관 2012:294, 331~334",2차보고서
400,SNU10-A013,,,비봉리,,,Bibongri,,1,,35.41067,128.645405,HK,,,경남,창녕,,strat,Shell layer 1,,shell,,,,5100,50,Jul 2020 (Kim),,,,,T,"국립김해박물관 2012:294, 331~334",2차보고서
401,SNU10-A014,,,비봉리,,,Bibongri,,1,,35.41067,128.645405,HK,,,경남,창녕,,strat,Shell layer 3,,shell,,,,6250,50,Jul 2020 (Kim),,,,,T,"국립김해박물관 2012:294, 331~334",2차보고서
402,SNU10-A015,,,비봉리,,,Bibongri,,1,,35.41067,128.645405,HK,,,경남,창녕,,strat,Shell layer 5,,shell,,,,6600,50,Jul 2020 (Kim),,,,,T,"국립김해박물관 2012:294, 331~334",2차보고서
403,SNU10-A016,,,비봉리,,,Bibongri,,1,,35.41067,128.645405,HK,,,경남,창녕,,strat,"Layer 37,  II-1 pit shell",,shell,,,,7010,60,Jul 2020 (Kim),,,,,T,"국립김해박물관 2012:294, 331~334",2차보고서
404,SNU10-822,,,중산동,,,Jungsandong,,1,"인천 중산동유적 발굴조사 중간보고, 양인철 이경하, 신석기연구16 2008 참조",37.494272,126.555682,HK,,,경기,인천,,house,4호 주거지,,charcoal,,-24.85,,3990,50,Apr_2017 (So),,,,,,한강문화재연구원 2012:685-707,
405,SNU10-823,,,중산동,,,Jungsandong,,1,"인천 중산동유적 발굴조사 중간보고, 양인철 이경하, 신석기연구16 2008 참조",37.494272,126.555682,HK,,,경기,인천,,house,5호 주거지,,charcoal,,-24.21,,4180,50,Apr_2017 (So),,,,,,한강문화재연구원 2012:685-707,
406,SNU10-824,,,중산동,,,Jungsandong,,1,"인천 중산동유적 발굴조사 중간보고, 양인철 이경하, 신석기연구16 2008 참조",37.494272,126.555682,HK,,,경기,인천,,house,6호 주거지,,charcoal,,-25.13,,4410,50,Apr_2017 (So),,,,,,한강문화재연구원 2012:685-707,
407,SNU10-825,,,중산동,,,Jungsandong,,1,"인천 중산동유적 발굴조사 중간보고, 양인철 이경하, 신석기연구16 2008 참조",37.494272,126.555682,HK,,,경기,인천,,house,12호 주거지,,charcoal,,-29.7,,4190,50,Apr_2017 (So),,,,,,한강문화재연구원 2012:685-707,
408,SNU10-826,,,중산동,,,Jungsandong,,1,"인천 중산동유적 발굴조사 중간보고, 양인철 이경하, 신석기연구16 2008 참조",37.494272,126.555682,HK,,,경기,인천,,outdoor hearth,1호 노지,,charcoal,,-23.83,,3780,50,Apr_2017 (So),,,,,,한강문화재연구원 2012:685-707,
409,SNU10-827,,,중산동,,,Jungsandong,,1,"인천 중산동유적 발굴조사 중간보고, 양인철 이경하, 신석기연구16 2008 참조",37.494272,126.555682,HK,,,경기,인천,,outdoor hearth,3호 노지,,charcoal,,-33.1,,4170,50,Apr_2017 (So),,,,,,한강문화재연구원 2012:685-707,
410,SNU10-828,,,중산동,,,Jungsandong,,1,"인천 중산동유적 발굴조사 중간보고, 양인철 이경하, 신석기연구16 2008 참조",37.494272,126.555682,HK,,,경기,인천,,outdoor hearth,5호 노지,,charcoal,,-23.78,,4070,50,Apr_2017 (So),,,,,,한강문화재연구원 2012:685-707,
411,SNU10-829,,,중산동,,,Jungsandong,,1,"인천 중산동유적 발굴조사 중간보고, 양인철 이경하, 신석기연구16 2008 참조",37.494272,126.555682,HK,,,경기,인천,,outdoor hearth,6호 노지,,charcoal,,-21.1,,4040,50,Apr_2017 (So),,,,,,한강문화재연구원 2012:685-707,
412,SNU10-830,,,중산동,,,Jungsandong,,1,"인천 중산동유적 발굴조사 중간보고, 양인철 이경하, 신석기연구16 2008 참조",37.494272,126.555682,HK,,,경기,인천,,outdoor hearth,7호 노지,,charcoal,,-24.48,,4270,50,Apr_2017 (So),,,,,,한강문화재연구원 2012:685-707,
413,SNU10-834,,,중산동,,,Jungsandong,,1,"인천 중산동유적 발굴조사 중간보고, 양인철 이경하, 신석기연구16 2008 참조",37.494272,126.555682,HK,,,경기,인천,,house,22호 주거지,2차생활면,charcoal,,-31.21,,3740,50,Apr_2017 (So),MC,,FM G,,,한강문화재연구원 2012:685-707,
414,SNU10-835,,,중산동,,,Jungsandong,,1,"인천 중산동유적 발굴조사 중간보고, 양인철 이경하, 신석기연구16 2008 참조",37.494272,126.555682,HK,,,경기,인천,,house,24호 주거지,,charcoal,,-25.82,,4030,50,Apr_2017 (So),,,,,,한강문화재연구원 2012:685-707,
415,SNU10-836,,,중산동,,,Jungsandong,,1,"인천 중산동유적 발굴조사 중간보고, 양인철 이경하, 신석기연구16 2008 참조",37.494272,126.555682,HK,,,경기,인천,,house,25호 주거지,,charcoal,,-23.62,,4260,50,Apr_2017 (So),MC,,FM G,,,한강문화재연구원 2012:685-707,
