Entry,OR_num,Labcode,Labcode_cmt,Site name,Site name_cmt,Probable correct site name,Site name in English,Corrected_name,location accuracy score (1=best),location_cmt,Lat,Long,location_recorder,per,Abb_Name,Prov,City,Sample name,Context name,Context,Context_cmt,Material,Materail_cmt,13C(0/00),13C(0/00)_range,uncal_bp,uncal_range,collected_season,SUBPHASE,SUBPHASE_cmt,Reference,Remark
319,OR305,SNU08-836,,삼화리,,제주 삼화지구 유적,Samhwari,,1,,33.51749,126.586649,HK,,,제주,,,,46th pit bottom layer,,,,,,5330,50,Bae_et_al_2013,,,,
320,OR306,SNU08-842,,삼화리,,제주 삼화지구 유적,Samhwari,,1,,33.51749,126.586649,HK,,,제주,,,,,,,,,,4890,60,Bae_et_al_2013,,,,
327,OR313,SNU08-238,,능곡,,,Neunggok,,1,,37.37582,126.811394,HK,,,경기,시흥,,,신석기 2호주거지 노지내부,,charcoal,,-27.68,,4730,50,Bae_et_al_2013,MC,,기전문화재연구원,
328,OR314,SNU08-239,,능곡,,,Neunggok,,1,,37.37582,126.811394,HK,,,경기,시흥,,,신석기 4호주거지 노지내부 IV층,,charcoal,,-32.84,,4690,70,Bae_et_al_2013,MC,,기전문화재연구원,
329,OR315,SNU08-240,,능곡,,,Neunggok,,1,,37.37582,126.811394,HK,,,경기,시흥,,,신석기 6호주거지 노지 소결층,,charcoal,,-26.26,,4870,50,Bae_et_al_2013,MC,,기전문화재연구원,
330,OR316,SNU08-241,,능곡,,,Neunggok,,1,,37.37582,126.811394,HK,,,경기,시흥,,,신석기 7호주거지 노지내부 II과 IV층 사이,,charcoal,,-23.66,,4830,50,Bae_et_al_2013,MC,,기전문화재연구원,
331,OR317,SNU08-242,,능곡,,,Neunggok,,1,,37.37582,126.811394,HK,,,경기,시흥,,,신석기 9호주거지,,charcoal,,-27.69,,4580,60,Bae_et_al_2013,MC,,기전문화재연구원,
332,OR318,SNU08-243,,능곡,,,Neunggok,,1,,37.37582,126.811394,HK,,,경기,시흥,,,신석기 11호 주거지,,charcoal,,-31.95,,4750,60,Bae_et_al_2013,MC,,기전문화재연구원,
333,OR319,SNU08-244,,능곡,,,Neunggok,,1,,37.37582,126.811394,HK,,,경기,시흥,,,신석기 12호 주거지 노지내부,,charcoal,,-37.57,,4520,80,Bae_et_al_2013,MC,,기전문화재연구원,
334,OR320,SNU08-245,,능곡,,,Neunggok,,1,,37.37582,126.811394,HK,,,경기,시흥,,,신석기 13호 주거지,,charcoal,,-26.17,,4970,50,Bae_et_al_2013,MC,,기전문화재연구원,
335,OR321,SNU08-247,,능곡,,,Neunggok,,1,,37.37582,126.811394,HK,,,경기,시흥,,,신석기 16호 주거지 바닥층,,charcoal,,-23.8,,4900,50,Bae_et_al_2013,MC,,기전문화재연구원,
336,OR322,SNU08-248,,능곡,,,Neunggok,,1,,37.37582,126.811394,HK,,,경기,시흥,,,신석기 18호 주거지 노지내부,,charcoal,,-17.5,,4840,50,Bae_et_al_2013,MC,,기전문화재연구원,
337,OR323,SNU08-249,,능곡,,,Neunggok,,1,,37.37582,126.811394,HK,,,경기,시흥,,,신석기 18호 주거지 노지내부,,charcoal,,-27.86,,4780,50,Bae_et_al_2013,MC,,기전문화재연구원,
338,OR324,SNU08-250,,능곡,,,Neunggok,,1,,37.37582,126.811394,HK,,,경기,시흥,,,신석기 20호 주거지 내부토,,charcoal,,-23.98,,4860,50,Bae_et_al_2013,MC,,기전문화재연구원,
339,OR325,SNU08-251,,능곡,,,Neunggok,,1,,37.37582,126.811394,HK,,,경기,시흥,,,신석기 22호주거지 바닥층,,charcoal,,-24.78,,4800,50,Bae_et_al_2013,MC,,기전문화재연구원,
340,OR326,SNU08-253,,능곡,,,Neunggok,,1,,37.37582,126.811394,HK,,,경기,시흥,,,신석기 25호 주거지 노지내부,,charcoal,,-36.81,,4620,70,Bae_et_al_2013,MC,,기전문화재연구원,
347,OR333,SNU08-868,,사계리,,,Sagueri,,1,,33.2378,126.288407,HK,,,제주,,,,S3E1 북측벽(JS1-1) 10층,,soil,,-39.6,,9650,60,Bae_et_al_2013,,,제주문화유산연구원 2010:254-273,context updated using SO's info
348,OR334,SNU08-869,,사계리,,,Sagueri,,1,,33.2378,126.288407,HK,,,제주,,,,S3E2 북측벽(JS1-2) 10층,,soil,,-24,,6070,60,Bae_et_al_2013,,,제주문화유산연구원 2010:254-273,context updated using SO's info
349,OR335,SNU08-870,,사계리,,,Sagueri,,1,,33.2378,126.288407,HK,,,제주,,,,S3E3 북측벽(JS2-1) 8층,,soil,,-31.8,,5740,60,Bae_et_al_2013,,,제주문화유산연구원 2010:254-273,context updated using SO's info
350,OR336,SNU08-871,,사계리,,,Sagueri,,1,,33.2378,126.288407,HK,,,제주,,,,S3E4 북측벽(JS2-2) 8층,,soil,,-24,,5210,50,Bae_et_al_2013,,,제주문화유산연구원 2010:254-273,context updated using SO's info
351,OR337,SNU08-872,,사계리,,,Sagueri,,1,,33.2378,126.288407,HK,,,제주,,,,S3E5 북측벽(JS3) 7층,,soil,,-23.2,,3950,50,Bae_et_al_2013,,,제주문화유산연구원 2010:254-273,context updated using SO's info
352,OR338,SNU08-873,,사계리,,,Sagueri,,1,,33.2378,126.288407,HK,,,제주,,,,layer 6 (JS4),,soil,,,,2610,50,Bae_et_al_2013,,,,
353,OR339,SNU08-874,,사계리,,,Sagueri,,1,,33.2378,126.288407,HK,,,제주,,,,S3E1 북측벽(JS5) 5층,,soil,,-21.4,,3070,50,Bae_et_al_2013,,,제주문화유산연구원 2010:254-273,context updated using SO's info
354,OR340,SNU08-875,,사계리,,,Sagueri,,1,,33.2378,126.288407,HK,,,제주,,,,N2E1 탐색트렌치 6층,,soil,,-25.8,,5740,60,Bae_et_al_2013,,,제주문화유산연구원 2010:254-273,context updated using SO's info
355,OR341,SNU08-876,,사계리,,,Sagueri,,1,,33.2378,126.288407,HK,,,제주,,,,N2E2 탐색트렌치 11층,,soil,,-26.6,,6950,50,Bae_et_al_2013,,,제주문화유산연구원 2010:254-273,context updated using SO's info
356,OR342,SNU08-877,,사계리,,,Sagueri,,1,,33.2378,126.288407,HK,,,제주,,,,N2W1② 11층,,soil,,-34.4,,4600,60,Bae_et_al_2013,,,제주문화유산연구원 2010:254-273,context updated using SO's info
357,OR343,SNU08-R094,,영종도,,,Unseodong II-Yongjongdo,운서동2,2,"운서동 1,2유적중 어느곳인지 확인불가",37.49224,126.494471,HK,,,경기,인천,,,III-1 fire place of area 1,,charcoal,,,,4490,60,Bae_et_al_2013,,,"인천 운서동 II 유적, 중앙문화재연구원 2010",
358,OR344,SNU08-R095,,영종도,,,Unseodong II-Yongjongdo,운서동2,2,"운서동 1,2유적중 어느곳인지 확인불가",37.49224,126.494471,HK,,,경기,인천,,,III-1 dwelling,,charcoal,,,,4780,60,Bae_et_al_2013,,,,
359,OR345,SNU08-R096,,영종도,,,Unseodong II-Yongjongdo,운서동2,2,"운서동 1,2유적중 어느곳인지 확인불가",37.49224,126.494471,HK,,,경기,인천,,,III-2 dwelling,,charcoal,,,,3140,50,Bae_et_al_2013,,,,
360,OR346,SNU08-R097,,영종도,,,Unseodong II-Yongjongdo,운서동2,2,"운서동 1,2유적중 어느곳인지 확인불가",37.49224,126.494471,HK,,,경기,인천,,,III-5 dwelling,,charcoal,,,,3370,50,Bae_et_al_2013,,,,
362,OR348,SNU08-775,,중산동,,,Jungsandong,,2,중앙문화재연구원 지점으로 임의좌표사용,37.48973,126.549723,HK,,,경기,인천,,,3지역 4호 야외노지,,charcoal,,-20.6,,4060,80,Bae_et_al_2013,,,"인천 중산동 유적, 중앙문화재연구원 2011",
363,OR349,SNU09-R209,,영종도,,,Unseodong I-Yongjongdo,운서동,2,"운서동 1,2유적중 어느곳인지 확인불가",37.49224,126.494471,HK,,,경기,인천,,,I-2-3 dwelling,,charcoal,,-22.36,,5040,50,Bae_et_al_2013,,,"인천 운서동 I 유적, 중앙문화재연구원 2010",
364,OR350,SNU09-R210,,영종도,,,Unseodong I-Yongjongdo,운서동,2,"운서동 1,2유적중 어느곳인지 확인불가",37.49224,126.494471,HK,,,경기,인천,,,I-2-16 dwelling,,charcoal,,-21.49,,4550,80,Bae_et_al_2013,,,"인천 운서동 I 유적, 중앙문화재연구원 2010",
365,OR351,SNU09-R211,,영종도,,,Unseodong I-Yongjongdo,운서동,2,"운서동 1,2유적중 어느곳인지 확인불가",37.49224,126.494471,HK,,,경기,인천,,,I-2-21 dwelling,,charcoal,,-40.12,,4920,80,Bae_et_al_2013,,,"인천 운서동 I 유적, 중앙문화재연구원 2010",
366,OR352,SNU09-R212,,영종도,,,Unseodong I-Yongjongdo,운서동,2,"운서동 1,2유적중 어느곳인지 확인불가",37.49224,126.494471,HK,,,경기,인천,,,I-2-30 dwelling,,charcoal,,-23.23,,4990,60,Bae_et_al_2013,,,"인천 운서동 I 유적, 중앙문화재연구원 2010",
367,OR353,SNU09-R213,,영종도,,,Unseodong I-Yongjongdo,운서동,2,"운서동 1,2유적중 어느곳인지 확인불가",37.49224,126.494471,HK,,,경기,인천,,,I-2-57 dwelling,,charcoal,,-23.23,,3360,60,Bae_et_al_2013,,,"인천 운서동 I 유적, 중앙문화재연구원 2010",
368,OR354,SNU09-R134,,평거동,,,Pyeonggeodong,,1,,35.16712,128.056004,HK,,,경남,진주,,,16th fire place floor,,charcoal,,,,3550,60,Bae_et_al_2013,,,,
369,OR355,SNU09-047,,용장리,,,Yongjangri,,1,"청동기유구위치를 임의로 사용하였으나, 신석기 유구가 있는지는 추가확인필요",35.78921,129.205119,HK,,,경북,경주,,,pit1 sample1,,charcoal,,,,4500,60,Bae_et_al_2013,,,,
370,OR356,SNU09-048,,용장리,,,Yongjangri,,1,"청동기유구위치를 임의로 사용하였으나, 신석기 유구가 있는지는 추가확인필요",35.78921,129.205119,HK,,,경북,경주,,,pit1 sample2,,charcoal,,,,4560,60,Bae_et_al_2013,,,,
371,OR357,SNU09-049,,용장리,,,Yongjangri,,1,"청동기유구위치를 임의로 사용하였으나, 신석기 유구가 있는지는 추가확인필요",35.78921,129.205119,HK,,,경북,경주,,,pit1 sample3,,charcoal,,,,4360,60,Bae_et_al_2013,,,,
372,OR358,SNU09-R057,,외도?,,,Oedo,,2,"외도운동장위치를 임의로 사용하였으나, 이곳이 신석기 유구위치인지는 추후확인필요",33.48783,126.436099,HK,,,제주,,,,N6E9 Grid Northeast,,charcoal,,,,4280,60,Bae_et_al_2013,,,,
373,OR359,SNU09-R058,,외도?,,,Oedo,,2,"외도운동장위치를 임의로 사용하였으나, 이곳이 신석기 유구위치인지는 추후확인필요",33.48783,126.436099,HK,,,제주,,,,N6E7 Grid,,charcoal,,,,6230,60,Bae_et_al_2013,,,,
374,OR360,SNU09-R059,,외도?,,,Oedo,,2,"외도운동장위치를 임의로 사용하였으나, 이곳이 신석기 유구위치인지는 추후확인필요",33.48783,126.436099,HK,,,제주,,,,N5E7 Grid Northwest,,charcoal,,,,6760,60,Bae_et_al_2013,,,,
375,OR361,SNU09-R060,,외도?,,,Oedo,,2,"외도운동장위치를 임의로 사용하였으나, 이곳이 신석기 유구위치인지는 추후확인필요",33.48783,126.436099,HK,,,제주,,,,9th fire place,,charcoal,,,,3760,50,Bae_et_al_2013,,,,
376,OR362,SNU10-A002,,시산리 패총,,,Sisanri,,1,,35.34284,128.784172,HK,,,경남,김해,,,1st shell layer - pit5 4th layer,,oyster shell,,,,6190,150,Bae_et_al_2013,,,,
377,OR363,SNU10-A003,,시산리 패총,,,Sisanri,,1,,35.34284,128.784172,HK,,,경남,김해,,,1st shell layer - pit5 4th layer,,cockle shell,,,,5360,60,Bae_et_al_2013,,,,
378,OR364,SNU10-A004,,시산리 패총,,,Sisanri,,1,,35.34284,128.784172,HK,,,경남,김해,,,2nd shell layer - pit9 6th layer,,corbicula shell,,,,3690,200,Bae_et_al_2013,,,,
379,OR365,SNU10-A008,,시산리 패총,,,Sisanri,,1,,35.34284,128.784172,HK,,,경남,김해,,,3rd shell layer - pit5 9th layer,,oyster shell,,,,6030,90,Bae_et_al_2013,,,,
380,OR366,SNU10-A009,,시산리 패총,,,Sisanri,,1,,35.34284,128.784172,HK,,,경남,김해,,,5th shell layer - pit4 17th layer,,oyster shell,,,,5640,60,Bae_et_al_2013,,,,
381,OR367,SNU10-1255,,경서동,,,Gyeongseodong,,2,경서동 국민임대주택입지 위치 사용,37.52876,126.645511,HK,,,경기,인천,,,fire place on 1st dwelling,,charcoal,,,,4340,50,Bae_et_al_2013,,,,
382,OR368,SNU10-1256,,경서동,,,Gyeongseodong,,2,경서동 국민임대주택입지 위치 사용,37.52876,126.645511,HK,,,경기,인천,,,2nd dwelling,,charcoal,,,,4430,40,Bae_et_al_2013,,,,
383,OR369,SNU10-1258,,경서동,,,Gyeongseodong,,2,경서동 국민임대주택입지 위치 사용,37.52876,126.645511,HK,,,경기,인천,,,fire place on 2nd dwelling,,charcoal,,,,4340,50,Bae_et_al_2013,,,,
384,OR370,SNU10-1150,,죽변리,,,Jukbyeonri,,1,,37.05676,129.427908,HK,,,경북,울진,,,no. 253 pottery piece in sand layer,blackish brown sand layer no. 253 earthenware piece,organic material attached on the earthenware potsherd,,-21.6,,6920,60,Bae_et_al_2013,,,삼한문화재연구원 2012:181-187,
385,OR371,SNU10-1097,,비봉리,,,Bibongri,,1,,35.41067,128.645405,HK,,,경남,창녕,,,shell mound 26th layer II pit,,wood,,,,5560,50,Bae_et_al_2013,,,,
386,OR372,SNU10-1098,,비봉리,,,Bibongri,,1,,35.41067,128.645405,HK,,,경남,창녕,,,shell mound 1 floatstone layer on the bottom surface,,charcoal,,,,5530,50,Bae_et_al_2013,,,?,
387,OR373,SNU10-1099,,비봉리,,,Bibongri,,1,,35.41067,128.645405,HK,,,경남,창녕,,,shell mound 1 floatstone layer,,wood,,,,5270,50,Bae_et_al_2013,,,?,
388,OR374,SNU10-1100,,비봉리,,,Bibongri,,1,,35.41067,128.645405,HK,,,경남,창녕,,,shell mound 26th layer V pit,,wood,,,,5060,50,Bae_et_al_2013,,,?,
389,OR375,SNU10-1101,,비봉리,,,Bibongri,,1,,35.41067,128.645405,HK,,,경남,창녕,,,shell mound 31st layer II pit,,wood,,,,6170,50,Bae_et_al_2013,,,?,
390,OR376,SNU10-1102,,비봉리,,,Bibongri,,1,,35.41067,128.645405,HK,,,경남,창녕,,,shell mound 31st layer,,wood,,,,5990,50,Bae_et_al_2013,,,?,
391,OR377,SNU10-1103,,비봉리,,,Bibongri,,1,,35.41067,128.645405,HK,,,경남,창녕,,,shell mound 31st layer II-1 pit,,wood,,,,6250,50,Bae_et_al_2013,,,?,
392,OR378,SNU10-1105,,비봉리,,,Bibongri,,1,,35.41067,128.645405,HK,,,경남,창녕,,,shell mound 5th shell layer topside II-1 pit,,wood,,,,6580,50,Bae_et_al_2013,,,?,
393,OR379,SNU10-1106,,비봉리,,,Bibongri,,1,,35.41067,128.645405,HK,,,경남,창녕,,,shell mound 5th shell layer II-1 pit,,wood,,,,6560,50,Bae_et_al_2013,,,?,
394,OR380,SNU10-1107,,비봉리,,,Bibongri,,1,,35.41067,128.645405,HK,,,경남,창녕,,,shell mound 5th shell layer II-1 pit,,wood,,,,6430,50,Bae_et_al_2013,,,?,
395,OR381,SNU10-1108,,비봉리,,,Bibongri,,1,,35.41067,128.645405,HK,,,경남,창녕,,,shell mound 5th shell layer II-1 pit,,wood,,,,6570,50,Bae_et_al_2013,,,?,
396,OR382,SNU10-1109,,비봉리,,,Bibongri,,1,,35.41067,128.645405,HK,,,경남,창녕,,,shell mound 35th layer topside II-1 pit,,wood,,,,6870,50,Bae_et_al_2013,,,?,
397,OR383,SNU10-1110,,비봉리,,,Bibongri,,1,,35.41067,128.645405,HK,,,경남,창녕,,,shell mound 37th layer topside II-1 pit,,wood,,,,6910,50,Bae_et_al_2013,,,?,
398,OR384,SNU10-1111,,비봉리,,,Bibongri,,1,,35.41067,128.645405,HK,,,경남,창녕,,,shell mound 35th layer top side II-1 pit,,wood,,,,7000,50,Bae_et_al_2013,,,?,
399,OR385,SNU10-1112,,비봉리,,,Bibongri,,1,,35.41067,128.645405,HK,,,경남,창녕,,,shell mound 36th layer II-1 pit,,wood,,,,6850,50,Bae_et_al_2013,,,?,
400,OR386,SNU10-A013,,비봉리,,,Bibongri,,1,,35.41067,128.645405,HK,,,경남,창녕,,,1st shell layer shell,,shell,,,,5100,50,Bae_et_al_2013,,,?,
401,OR387,SNU10-A014,,비봉리,,,Bibongri,,1,,35.41067,128.645405,HK,,,경남,창녕,,,3rd shell layer shell,,shell,,,,6250,50,Bae_et_al_2013,,,?,
402,OR388,SNU10-A015,,비봉리,,,Bibongri,,1,,35.41067,128.645405,HK,,,경남,창녕,,,5th shell layer shell,,shell,,,,6600,50,Bae_et_al_2013,,,?,
403,OR389,SNU10-A016,,비봉리,,,Bibongri,,1,,35.41067,128.645405,HK,,,경남,창녕,,,37th layer II-1 pit shell,,shell,,,,7010,60,Bae_et_al_2013,,,?,
404,OR390,SNU10-822,,중산동,,,Jungsandong,,2,중앙문화재연구원 지점으로 임의좌표사용,37.48973,126.549723,HK,,,경기,인천,,,4th dwelling pit of Location 23,,charcoal,,,,3990,50,Bae_et_al_2013,,,한강문화재연구원 2012:685-707,
405,OR391,SNU10-823,,중산동,,,Jungsandong,,2,중앙문화재연구원 지점으로 임의좌표사용,37.48973,126.549723,HK,,,경기,인천,,,5th dwelling pit of Location 23,,charcoal,,,,4180,50,Bae_et_al_2013,,,한강문화재연구원 2012:685-707,
406,OR392,SNU10-824,,중산동,,,Jungsandong,,2,중앙문화재연구원 지점으로 임의좌표사용,37.48973,126.549723,HK,,,경기,인천,,,6th dwelling pit of Location 23,,charcoal,,,,4410,50,Bae_et_al_2013,,,한강문화재연구원 2012:685-707,
407,OR393,SNU10-825,,중산동,,,Jungsandong,,2,중앙문화재연구원 지점으로 임의좌표사용,37.48973,126.549723,HK,,,경기,인천,,,12th dwelling pit of Location 23,,charcoal,,,,4190,50,Bae_et_al_2013,,,한강문화재연구원 2012:685-707,
408,OR394,SNU10-826,,중산동,,,Jungsandong,,2,중앙문화재연구원 지점으로 임의좌표사용,37.48973,126.549723,HK,,,경기,인천,,,1st fire place of Location 23,,charcoal,,,,3780,50,Bae_et_al_2013,,,한강문화재연구원 2012:685-707,
409,OR395,SNU10-827,,중산동,,,Jungsandong,,2,중앙문화재연구원 지점으로 임의좌표사용,37.48973,126.549723,HK,,,경기,인천,,,3rd fire place of Location 23,,charcoal,,,,4170,50,Bae_et_al_2013,,,한강문화재연구원 2012:685-707,
410,OR396,SNU10-828,,중산동,,,Jungsandong,,2,중앙문화재연구원 지점으로 임의좌표사용,37.48973,126.549723,HK,,,경기,인천,,,5th fire place of Location 23,,charcoal,,,,4070,50,Bae_et_al_2013,,,한강문화재연구원 2012:685-707,
411,OR397,SNU10-829,,중산동,,,Jungsandong,,2,중앙문화재연구원 지점으로 임의좌표사용,37.48973,126.549723,HK,,,경기,인천,,,6th fire place of Location 23,,charcoal,,,,4040,50,Bae_et_al_2013,,,한강문화재연구원 2012:685-707,
412,OR398,SNU10-830,,중산동,,,Jungsandong,,2,중앙문화재연구원 지점으로 임의좌표사용,37.48973,126.549723,HK,,,경기,인천,,,7th fire place of Location 23,,charcoal,,,,4270,50,Bae_et_al_2013,,,한강문화재연구원 2012:685-707,
413,OR399,SNU10-834,,중산동,,,Jungsandong,,2,중앙문화재연구원 지점으로 임의좌표사용,37.48973,126.549723,HK,,,경기,인천,,,24th dwelling of Location 21,,charcoal,,,,3740,50,Bae_et_al_2013,,,한강문화재연구원 2012:685-707,
414,OR400,SNU10-835,,중산동,,,Jungsandong,,2,중앙문화재연구원 지점으로 임의좌표사용,37.48973,126.549723,HK,,,경기,인천,,,27th dwelling of Location 21,,charcoal,,,,4030,50,Bae_et_al_2013,,,한강문화재연구원 2012:685-707,
415,OR401,SNU10-836,,중산동,,,Jungsandong,,2,중앙문화재연구원 지점으로 임의좌표사용,37.48973,126.549723,HK,,,경기,인천,,,28th dwelling of Location 23,,charcoal,,,,4260,50,Bae_et_al_2013,,,한강문화재연구원 2012:685-707,
416,OR402,SNU10-837,,중산동,,,Jungsandong,,2,중앙문화재연구원 지점으로 임의좌표사용,37.48973,126.549723,HK,,,경기,인천,,,30th dwelling of Location 21,,charcoal,,,,4140,50,Bae_et_al_2013,,,한강문화재연구원 2012:685-707,
417,OR403,SNU10-838,,중산동,,,Jungsandong,,2,중앙문화재연구원 지점으로 임의좌표사용,37.48973,126.549723,HK,,,경기,인천,,,fire place on 30th dwelling of Location 23,,charcoal,,,,3690,50,Bae_et_al_2013,,,한강문화재연구원 2012:685-707,
418,OR404,SNU10-839,,중산동,,,Jungsandong,,2,중앙문화재연구원 지점으로 임의좌표사용,37.48973,126.549723,HK,,,경기,인천,,,fire place on 33th dwelling of Location 23,,charcoal,,,,3820,50,Bae_et_al_2013,,,한강문화재연구원 2012:685-707,
419,OR405,SNU10-840,,중산동,,,Jungsandong,,2,중앙문화재연구원 지점으로 임의좌표사용,37.48973,126.549723,HK,,,경기,인천,,,33th dwelling of Location 21,,charcoal,,,,4240,50,Bae_et_al_2013,,,한강문화재연구원 2012:685-707,
420,OR406,SNU10-841,,중산동,,,Jungsandong,,2,중앙문화재연구원 지점으로 임의좌표사용,37.48973,126.549723,HK,,,경기,인천,,,fire place on 34th dwelling of Location 21,,charcoal,,,,4330,50,Bae_et_al_2013,,,한강문화재연구원 2012:685-707,
421,OR407,SNU10-842,,중산동,,,Jungsandong,,2,중앙문화재연구원 지점으로 임의좌표사용,37.48973,126.549723,HK,,,경기,인천,,,36th dwelling pit of Location 21,,charcoal,,,,4460,50,Bae_et_al_2013,,,한강문화재연구원 2012:685-707,
422,OR408,SNU10-047,,판교,,,Pangyeo,,2,"판교 택지개발지구내 임의지역의 좌표를 사용하였으나, 추후 확인요망",37.39664,127.103563,HK,,,경기,성남,,,dwelling of area 'da'-spot in area 19 (sample 7),,charcoal,,,,4330,60,Bae_et_al_2013,,,,
423,OR409,SNU10-R184,,오등동,,,Odeungdong,,1,,33.43193,126.555191,HK,,,제주,,,,6th pit,,pottery piece,,,,5610,60,Bae_et_al_2013,,,,
424,OR410,SNU10-R185,,오등동,,,Odeungdong,,1,,33.43193,126.555191,HK,,,제주,,,,14th pit,,pottery piece,,,,6440,60,Bae_et_al_2013,,,,
425,OR411,SNU10-R186,,오등동,,,Odeungdong,,1,,33.43193,126.555191,HK,,,제주,,,,14th pit,,pottery piece,,,,6310,50,Bae_et_al_2013,,,,
426,OR412,SNU10-R187,,오등동,,,Odeungdong,,1,,33.43193,126.555191,HK,,,제주,,,,15th pit,,pottery piece,,,,7630,50,Bae_et_al_2013,,,,
427,OR413,SNU10-R188,,오등동,,,Odeungdong,,1,,33.43193,126.555191,HK,,,제주,,,,17th pit,,pottery piece,,,,5520,50,Bae_et_al_2013,,,,
428,OR414,SNU10-R190,,오등동,,,Odeungdong,,1,,33.43193,126.555191,HK,,,제주,,,,22th pit,,pottery piece,,,,4620,50,Bae_et_al_2013,,,,
429,OR415,SNU10-R191,,오등동,,,Odeungdong,,1,,33.43193,126.555191,HK,,,제주,,,,27th pit,,pottery piece,,,,5420,60,Bae_et_al_2013,,,,
430,OR416,SNU10-R192,,오등동,,,Odeungdong,,1,,33.43193,126.555191,HK,,,제주,,,,29th pit,,pottery piece,,,,4700,60,Bae_et_al_2013,,,,
431,OR417,SNU10-R193,,오등동,,,Odeungdong,,1,,33.43193,126.555191,HK,,,제주,,,,30th pit,,pottery piece,,,,4810,60,Bae_et_al_2013,,,,
432,OR418,SNU10-763,,지좌리,,,Jijwari,,1,,35.97682,127.982285,HK,,,경북,김천,,,4th dwelling,,charcoal,,-28.07,,4220,50,Bae_et_al_2013,,,대동문화재연구원 2012(Ⅴ):104-111.,
433,OR419,SNU10-764,,지좌리,,,Jijwari,,1,,35.97682,127.982285,HK,,,경북,김천,,,1th dwelling (가마? - so's info),,charcoal,,-23.96,,4040,40,Bae_et_al_2013,,,대동문화재연구원 2012(Ⅴ):104-111.,
434,OR420,SNU10-765,,지좌리,,,Jijwari,,1,,35.97682,127.982285,HK,,,경북,김천,,,2th dwelling (가마? - so's info),,charcoal,,-28.96,,4160,50,Bae_et_al_2013,,,대동문화재연구원 2012(Ⅴ):104-111.,
435,OR421,SNU10-766,,지좌리,,,Jijwari,,1,,35.97682,127.982285,HK,,,경북,김천,,,5th dwelling (가마? - so's info),,charcoal,,-26.61,,4420,50,Bae_et_al_2013,,,대동문화재연구원 2012(Ⅴ):104-111.,
436,OR422,SNU10-767,,지좌리,,,Jijwari,,1,,35.97682,127.982285,HK,,,경북,김천,,,6th dwelling (가마? - so's info),,charcoal,,-22.25,,4410,50,Bae_et_al_2013,,,대동문화재연구원 2012(Ⅴ):104-111.,
437,OR423,SNU10-350,,도두동 유적,,,Dodudong,,1,,33.49795,126.471545,HK,,,제주,,,,주거지토층1토양,,soil,,-19.77,,3160,50,Bae_et_al_2013,,,"제주국제공항 남측토취장부지 내 유적 문화재 발굴조사보고서 제주 도두동유적(2162-2번지), 제주문화유산연구원 2011",context info updated using So's info
438,OR424,SNU10-351,,도두동 유적,,,Dodudong,,1,,33.49795,126.471545,HK,,,제주,,,,주거지토층2토양,,soil,,-22.42,,3590,60,Bae_et_al_2013,,,"제주국제공항 남측토취장부지 내 유적 문화재 발굴조사보고서 제주 도두동유적(2162-2번지), 제주문화유산연구원 2011",context info updated using So's info
439,OR425,SNU10-352,,도두동 유적,,,Dodudong,,1,,33.49795,126.471545,HK,,,제주,,,,주거지토층2소토,,soil,,-20.12,,4020,50,Bae_et_al_2013,,,"제주국제공항 남측토취장부지 내 유적 문화재 발굴조사보고서 제주 도두동유적(2162-2번지), 제주문화유산연구원 2011",context info updated using So's info
440,OR426,SNU10-353,,도두동 유적,,,Dodudong,,1,,33.49795,126.471545,HK,,,제주,,,,주거지토층3,,soil,,-21.54,,5190,60,Bae_et_al_2013,,,"제주국제공항 남측토취장부지 내 유적 문화재 발굴조사보고서 제주 도두동유적(2162-2번지), 제주문화유산연구원 2011",context info updated using So's info
441,OR427,SNU10-354,,도두동 유적,,,Dodudong,,1,,33.49795,126.471545,HK,,,제주,,,,주거지토층4,,soil,,-24.55,,5740,60,Bae_et_al_2013,,,"제주국제공항 남측토취장부지 내 유적 문화재 발굴조사보고서 제주 도두동유적(2162-2번지), 제주문화유산연구원 2011",context info updated using So's info
442,OR428,SNU10-355,,도두동 유적,,,Dodudong,,1,,33.49795,126.471545,HK,,,제주,,,,주거지토층4소토,,soil,,-26.85,,5900,60,Bae_et_al_2013,,,"제주국제공항 남측토취장부지 내 유적 문화재 발굴조사보고서 제주 도두동유적(2162-2번지), 제주문화유산연구원 2011",context info updated using So's info
443,OR429,SNU10-356,,도두동 유적,,,Dodudong,,1,,33.49795,126.471545,HK,,,제주,,,,주거지토층5,,soil,,-36.14,,6110,60,Bae_et_al_2013,,,"제주국제공항 남측토취장부지 내 유적 문화재 발굴조사보고서 제주 도두동유적(2162-2번지), 제주문화유산연구원 2011",context info updated using So's info
444,OR430,SNU10-357,,도두동 유적,,,Dodudong,,1,,33.49795,126.471545,HK,,,제주,,,,주거지토층6생토층,,soil,,-26.85,,7100,60,Bae_et_al_2013,,,"제주국제공항 남측토취장부지 내 유적 문화재 발굴조사보고서 제주 도두동유적(2162-2번지), 제주문화유산연구원 2011",context info updated using So's info
446,OR431,SNU10-R055,,화전?,,,Hwajeon,,2,"광주 화전유적이 유력하나, 추후확인필요",35.11553,126.755333,HK,,,경북,울진,,,wood sample no.5,,,,,,4380,50,Bae_et_al_2013,,,,
